"i.vec","sp.query","q.rank","ncbi.ids","class","cohort","family","genus","infraclass","infraorder","kingdom","order","parvorder","phylum","species","species.group","subclass","subcohort","subfamily","subgenus","subkingdom","suborder","subphylum","subtribe","superclass","superfamily","superkingdom","superorder","tribe","host_record_lcdb_nhm"
3685,"Myctophum nitidulum","species","123340","Actinopteri","Euteleosteomorpha","Myctophidae","Myctophum","Teleostei",NA,"Metazoa","Myctophiformes",NA,"Chordata","Myctophum nitidulum",NA,"Neopterygii",NA,NA,NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Myctophum nitidulum"
3686,"Myctophum punctatum","species","114866","Actinopteri","Euteleosteomorpha","Myctophidae","Myctophum","Teleostei",NA,"Metazoa","Myctophiformes",NA,"Chordata","Myctophum punctatum",NA,"Neopterygii",NA,NA,NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Myctophum punctatum"
3686,"Myctophum punctatum","species","114866","Actinopteri","Euteleosteomorpha","Myctophidae","Myctophum","Teleostei",NA,"Metazoa","Myctophiformes",NA,"Chordata","Myctophum punctatum",NA,"Neopterygii",NA,NA,NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Scopelus heideri"
3688,"Myliobatis aquila","species","990611","Chondrichthyes",NA,"Myliobatidae","Myliobatis",NA,NA,"Metazoa","Myliobatiformes",NA,"Chordata","Myliobatis aquila",NA,"Elasmobranchii",NA,"Myliobatinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Batoidea",NA,"Myliobatis aquila"
3689,"Myliobatis australis","species","334989","Chondrichthyes",NA,"Myliobatidae","Myliobatis",NA,NA,"Metazoa","Myliobatiformes",NA,"Chordata","Myliobatis australis",NA,"Elasmobranchii",NA,"Myliobatinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Batoidea",NA,"Myliobatis australis"
3690,"Myliobatis californica","species","319543","Chondrichthyes",NA,"Myliobatidae","Myliobatis",NA,NA,"Metazoa","Myliobatiformes",NA,"Chordata","Myliobatis californica",NA,"Elasmobranchii",NA,"Myliobatinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Batoidea",NA,"Myliobatis californica"
3691,"Myliobatis chilensis","species","1804732","Chondrichthyes",NA,"Myliobatidae","Myliobatis",NA,NA,"Metazoa","Myliobatiformes",NA,"Chordata","Myliobatis chilensis",NA,"Elasmobranchii",NA,"Myliobatinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Batoidea",NA,"Myliobatis chilensis"
3692,"Myliobatis freminvillei","species","1072479","Chondrichthyes",NA,"Myliobatidae","Myliobatis",NA,NA,"Metazoa","Myliobatiformes",NA,"Chordata","Myliobatis freminvillei",NA,"Elasmobranchii",NA,"Myliobatinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Batoidea",NA,"Myliobatis freminvillei"
3693,"Myliobatis peruvianus","species","1804733","Chondrichthyes",NA,"Myliobatidae","Myliobatis",NA,NA,"Metazoa","Myliobatiformes",NA,"Chordata","Myliobatis peruvianus",NA,"Elasmobranchii",NA,"Myliobatinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Batoidea",NA,"Myliobatis peruvianus"
3694,"Mylocheilus caurinus","species","86918","Actinopteri","Otomorpha","Cyprinidae","Mylocheilus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Mylocheilus caurinus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Mylocheilus caurinus"
3695,"Mylocheilus sp.","genus","86917","Actinopteri","Otomorpha","Cyprinidae","Mylocheilus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata",NA,NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Mylocheilus sp."
3696,"Mylopharyngodon piceus","species","75356","Actinopteri","Otomorpha","Cyprinidae","Mylopharyngodon","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Mylopharyngodon piceus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Mylopharyngodon piceus"
3697,"Myocastor coypus","species","10157","Mammalia",NA,"Myocastoridae","Myocastor",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Myocastor coypus",NA,NA,NA,NA,NA,NA,"Hystricomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Myocastor coypus"
3698,"Myodes gapperi","species","473866","Mammalia",NA,"Cricetidae","Myodes",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Myodes gapperi",NA,NA,NA,"Arvicolinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Clethrionomys gapperi"
3698,"Myodes gapperi","species","473866","Mammalia",NA,"Cricetidae","Myodes",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Myodes gapperi",NA,NA,NA,"Arvicolinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Myodes gapperi"
3699,"Myodes glareolus","species","447135","Mammalia",NA,"Cricetidae","Myodes",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Myodes glareolus",NA,NA,NA,"Arvicolinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Clethrionomys glareolus"
3699,"Myodes glareolus","species","447135","Mammalia",NA,"Cricetidae","Myodes",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Myodes glareolus",NA,NA,NA,"Arvicolinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Myodes glareolus"
3700,"Myodes rufocanus","species","527686","Mammalia",NA,"Cricetidae","Myodes",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Myodes rufocanus",NA,NA,NA,"Arvicolinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Clethrionomys rufocanus"
3700,"Myodes rufocanus","species","527686","Mammalia",NA,"Cricetidae","Myodes",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Myodes rufocanus",NA,NA,NA,"Arvicolinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Clethrionomys rufocanus bedfordiae"
3700,"Myodes rufocanus","species","527686","Mammalia",NA,"Cricetidae","Myodes",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Myodes rufocanus",NA,NA,NA,"Arvicolinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Myodes rufocanus"
3701,"Myodes rutilus","species","537920","Mammalia",NA,"Cricetidae","Myodes",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Myodes rutilus",NA,NA,NA,"Arvicolinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Clethrionomys rutilus"
3701,"Myodes rutilus","species","537920","Mammalia",NA,"Cricetidae","Myodes",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Myodes rutilus",NA,NA,NA,"Arvicolinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Clethrionomys rutilus mikado"
3701,"Myodes rutilus","species","537920","Mammalia",NA,"Cricetidae","Myodes",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Myodes rutilus",NA,NA,NA,"Arvicolinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Myodes rutilus"
3702,"Myophonus caeruleus","species","869933","Aves",NA,"Muscicapidae","Myophonus","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Myophonus caeruleus",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Myophonus caeruleus"
3703,"Myopus schisticolor","species","71003","Mammalia",NA,"Cricetidae","Myopus",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Myopus schisticolor",NA,NA,NA,"Arvicolinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Myopus schisticolor"
3704,"Myospalax fontanieri","genus","106349","Mammalia",NA,"Spalacidae","Myospalax",NA,NA,"Metazoa","Rodentia",NA,"Chordata",NA,NA,NA,NA,"Myospalacinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Myospalax fontanieri"
3705,"Myospalax myospalax","species","146128","Mammalia",NA,"Spalacidae","Myospalax",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Myospalax myospalax",NA,NA,NA,"Myospalacinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Myospalax myospalax"
3706,"Myospalax psilurus","species","146129","Mammalia",NA,"Spalacidae","Myospalax",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Myospalax psilurus",NA,NA,NA,"Myospalacinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Myospalax psilurus"
3707,"Myotis bechsteinii","species","59462","Mammalia",NA,"Vespertilionidae","Myotis",NA,NA,"Metazoa","Chiroptera",NA,"Chordata","Myotis bechsteinii",NA,NA,NA,NA,NA,NA,"Microchiroptera","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Myotis bechsteini"
3708,"Myotis dasycneme","species","159324","Mammalia",NA,"Vespertilionidae","Myotis",NA,NA,"Metazoa","Chiroptera",NA,"Chordata","Myotis dasycneme",NA,NA,NA,NA,NA,NA,"Microchiroptera","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Myotis dasycneme"
3709,"Myotis daubentonii","species","98922","Mammalia",NA,"Vespertilionidae","Myotis",NA,NA,"Metazoa","Chiroptera",NA,"Chordata","Myotis daubentonii",NA,NA,NA,NA,NA,NA,"Microchiroptera","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Myotis daubentoni"
3710,"Myotis lucifugus","species","59463","Mammalia",NA,"Vespertilionidae","Myotis",NA,NA,"Metazoa","Chiroptera",NA,"Chordata","Myotis lucifugus",NA,NA,NA,NA,NA,NA,"Microchiroptera","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Myotis lucifugus"
3711,"Myotis myotis","species","51298","Mammalia",NA,"Vespertilionidae","Myotis",NA,NA,"Metazoa","Chiroptera",NA,"Chordata","Myotis myotis",NA,NA,NA,NA,NA,NA,"Microchiroptera","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Myotis myotis"
3712,"Myotis mystacinus","species","109479","Mammalia",NA,"Vespertilionidae","Myotis",NA,NA,"Metazoa","Chiroptera",NA,"Chordata","Myotis mystacinus",NA,NA,NA,NA,NA,NA,"Microchiroptera","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Myotis mystacinus"
3713,"Myotis nattereri","species","109481","Mammalia",NA,"Vespertilionidae","Myotis",NA,NA,"Metazoa","Chiroptera",NA,"Chordata","Myotis nattereri",NA,NA,NA,NA,NA,NA,"Microchiroptera","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Myotis nattereri"
3714,"Myotis punicus","species","386774","Mammalia",NA,"Vespertilionidae","Myotis",NA,NA,"Metazoa","Chiroptera",NA,"Chordata","Myotis punicus",NA,NA,NA,NA,NA,NA,"Microchiroptera","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Myotis blythi"
3715,"Myoxocephalus aenaeus","species","8096","Actinopteri","Euteleosteomorpha","Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Myoxocephalus aenaeus",NA,"Neopterygii",NA,NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Myoxocephalus aenaeus"
3716,"Myoxocephalus aeneus","genus","8095","Actinopteri","Euteleosteomorpha","Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata",NA,NA,"Neopterygii",NA,NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Myoxocephalus aeneus"
3717,"Myoxocephalus brandtii","species","476918","Actinopteri","Euteleosteomorpha","Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Myoxocephalus brandtii",NA,"Neopterygii",NA,NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Myoxocephalus brandti"
3718,"Myoxocephalus jaok","species","980339","Actinopteri","Euteleosteomorpha","Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Myoxocephalus jaok",NA,"Neopterygii",NA,NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Myoxocephalus jaok"
3719,"Myoxocephalus octodecemspinosus","species","68557","Actinopteri","Euteleosteomorpha","Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Myoxocephalus octodecemspinosus",NA,"Neopterygii",NA,NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Myoxocephalus octodecemspinosus"
3720,"Myoxocephalus polyacanthocephalus","species","238839","Actinopteri","Euteleosteomorpha","Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Myoxocephalus polyacanthocephalus",NA,"Neopterygii",NA,NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Myoxocephalus polyacanthocephalus"
3721,"Myoxocephalus quadricornis","species","200680","Actinopteri","Euteleosteomorpha","Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Myoxocephalus quadricornis",NA,"Neopterygii",NA,NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Myoxocephalus quadricornis"
3722,"Myoxocephalus scorpioides","species","1911260","Actinopteri","Euteleosteomorpha","Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Myoxocephalus scorpioides",NA,"Neopterygii",NA,NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Myoxocephalus axillaris"
3722,"Myoxocephalus scorpioides","species","1911260","Actinopteri","Euteleosteomorpha","Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Myoxocephalus scorpioides",NA,"Neopterygii",NA,NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Myoxocephalus scorpioides"
3723,"Myoxocephalus scorpius","species","8097","Actinopteri","Euteleosteomorpha","Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Myoxocephalus scorpius",NA,"Neopterygii",NA,NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Cottus scorpius"
3723,"Myoxocephalus scorpius","species","8097","Actinopteri","Euteleosteomorpha","Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Myoxocephalus scorpius",NA,"Neopterygii",NA,NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Myoxocephalus scorpius"
3723,"Myoxocephalus scorpius","species","8097","Actinopteri","Euteleosteomorpha","Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Myoxocephalus scorpius",NA,"Neopterygii",NA,NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Myoxocephalus verrucosus"
3724,"Myoxocephalus stelleri","species","239743","Actinopteri","Euteleosteomorpha","Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Myoxocephalus stelleri",NA,"Neopterygii",NA,NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Myoxocephalus stelleri"
3725,"Myoxocephalus thompsonii","species","304292","Actinopteri","Euteleosteomorpha","Cottidae","Myoxocephalus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Myoxocephalus thompsonii",NA,"Neopterygii",NA,NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Myoxocephalus thompsoni"
3726,"Myrmecobius fasciatus","species","55782","Mammalia",NA,"Myrmecobiidae","Myrmecobius",NA,NA,"Metazoa","Dasyuromorphia",NA,"Chordata","Myrmecobius fasciatus",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Myrmecobius fasciatus"
3727,"Mysis mixta","species","349389","Malacostraca",NA,"Mysidae","Mysis",NA,NA,"Metazoa","Mysida",NA,"Arthropoda","Mysis mixta",NA,"Eumalacostraca",NA,"Mysinae",NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Peracarida","Mysini","Mysis mixta"
3728,"Mysis relicta","species","261864","Malacostraca",NA,"Mysidae","Mysis",NA,NA,"Metazoa","Mysida",NA,"Arthropoda","Mysis relicta",NA,"Eumalacostraca",NA,"Mysinae",NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Peracarida","Mysini","Mysis relicta"
3729,"Mysis segerstralei","species","324859","Malacostraca",NA,"Mysidae","Mysis",NA,NA,"Metazoa","Mysida",NA,"Arthropoda","Mysis segerstralei",NA,"Eumalacostraca",NA,"Mysinae",NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Peracarida","Mysini","Mysis segerstralei"
3730,"Mysis sp.","genus","261863","Malacostraca",NA,"Mysidae","Mysis",NA,NA,"Metazoa","Mysida",NA,"Arthropoda",NA,NA,"Eumalacostraca",NA,"Mysinae",NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Peracarida","Mysini","Mysis sp."
3731,"Mysis stenolepis","species","349385","Malacostraca",NA,"Mysidae","Mysis",NA,NA,"Metazoa","Mysida",NA,"Arthropoda","Mysis stenolepis",NA,"Eumalacostraca",NA,"Mysinae",NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Peracarida","Mysini","Mysis stenolepis"
3732,"Mystus bleekeri","species","210630","Actinopteri","Otomorpha","Bagridae","Mystus","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Mystus bleekeri",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Mystus bleekeri"
3733,"Mystus cavasius","species","205132","Actinopteri","Otomorpha","Bagridae","Mystus","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Mystus cavasius",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Mystus cavasius"
3733,"Mystus cavasius","species","205132","Actinopteri","Otomorpha","Bagridae","Mystus","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Mystus cavasius",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Mystus cavassius"
3734,"Mystus gulio","species","568893","Actinopteri","Otomorpha","Bagridae","Mystus","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Mystus gulio",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Mystus gulio"
3735,"Mystus halpensis","genus","205131","Actinopteri","Otomorpha","Bagridae","Mystus","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata",NA,NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Mystus halpensis"
3736,"Mystus pelusius","species","1483071","Actinopteri","Otomorpha","Bagridae","Mystus","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Mystus pelusius",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Mystus halepensis"
3736,"Mystus pelusius","species","1483071","Actinopteri","Otomorpha","Bagridae","Mystus","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Mystus pelusius",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Mystus pelusius"
3737,"Mystus tengara","species","402707","Actinopteri","Otomorpha","Bagridae","Mystus","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Mystus tengara",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Mystus tengara"
3738,"Mystus vittatus","species","337539","Actinopteri","Otomorpha","Bagridae","Mystus","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Mystus vittatus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Mystus vittatus"
3740,"Nactus multicarinatus","species","476513","Craniata",NA,"Gekkonidae","Nactus",NA,"Gekkota","Metazoa","Squamata",NA,"Chordata","Nactus multicarinatus",NA,NA,NA,"Gekkoninae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Lepidosauria",NA,"Nactus multicarinatus"
3741,"Nactus pelagicus","species","221565","Craniata",NA,"Gekkonidae","Nactus",NA,"Gekkota","Metazoa","Squamata",NA,"Chordata","Nactus pelagicus",NA,NA,NA,"Gekkoninae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Lepidosauria",NA,"Nactus pelagicus"
3742,"Nais communis","species","188228","Clitellata",NA,"Naididae","Nais",NA,NA,"Metazoa","Haplotaxida",NA,"Annelida","Nais communis",NA,"Oligochaeta",NA,"Naidinae",NA,NA,"Tubificina",NA,NA,NA,NA,"Eukaryota",NA,NA,"Nais communis"
3743,"Nais pseudobtusa","species","2023989","Clitellata",NA,"Naididae","Nais",NA,NA,"Metazoa","Haplotaxida",NA,"Annelida","Nais pseudobtusa",NA,"Oligochaeta",NA,"Naidinae",NA,NA,"Tubificina",NA,NA,NA,NA,"Eukaryota",NA,NA,"Nais pseudoobtusa"
3744,"Nais variabilis","species","212334","Clitellata",NA,"Naididae","Nais",NA,NA,"Metazoa","Haplotaxida",NA,"Annelida","Nais variabilis",NA,"Oligochaeta",NA,"Naidinae",NA,NA,"Tubificina",NA,NA,NA,NA,"Eukaryota",NA,NA,"Nais variabilis"
3745,"Naja haje","species","8639","Craniata",NA,"Elapidae","Naja",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata","Naja haje",NA,NA,NA,"Elapinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii","Colubroidea","Eukaryota","Lepidosauria",NA,"Naja haje"
3746,"Naja melanoleuca","species","8643","Craniata",NA,"Elapidae","Naja",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata","Naja melanoleuca",NA,NA,NA,"Elapinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii","Colubroidea","Eukaryota","Lepidosauria",NA,"Naja melanoleuca"
3747,"Naja naja","species","35670","Craniata",NA,"Elapidae","Naja",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata","Naja naja",NA,NA,NA,"Elapinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii","Colubroidea","Eukaryota","Lepidosauria",NA,"Naja naja"
3748,"Naja nigricollis","species","8654","Craniata",NA,"Elapidae","Naja",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata","Naja nigricollis",NA,NA,NA,"Elapinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii","Colubroidea","Eukaryota","Lepidosauria",NA,"Naja nigricollis"
3749,"Naja oxiana","species","8657","Craniata",NA,"Elapidae","Naja",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata","Naja oxiana",NA,NA,NA,"Elapinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii","Colubroidea","Eukaryota","Lepidosauria",NA,"Naja oxiana"
3750,"Nandopsis istlanum","genus","61810","Actinopteri","Euteleosteomorpha","Cichlidae","Nandopsis","Teleostei",NA,"Metazoa","Cichliformes",NA,"Chordata",NA,NA,"Neopterygii",NA,"Cichlasomatinae",NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cichlomorphae","Heroini","Nandopsis istlanum"
3751,"Nandus nandus","species","248996","Actinopteri","Euteleosteomorpha","Nandidae","Nandus","Teleostei",NA,"Metazoa","Anabantiformes",NA,"Chordata","Nandus nandus",NA,"Neopterygii",NA,NA,NA,NA,"Nandoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Nandus nandus"
3752,"Nanger dama","species","67940","Mammalia",NA,"Bovidae","Nanger",NA,"Pecora","Metazoa","Laurasiatheria",NA,"Chordata","Nanger dama",NA,NA,NA,"Antilopinae",NA,NA,"Ruminantia","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Gazella dama"
3753,"Nanger granti","species","27591","Mammalia",NA,"Bovidae","Nanger",NA,"Pecora","Metazoa","Laurasiatheria",NA,"Chordata","Nanger granti",NA,NA,NA,"Antilopinae",NA,NA,"Ruminantia","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Gazella granti"
3754,"Nanorana yunnanensis","species","110102","Amphibia",NA,"Dicroglossidae","Nanorana",NA,NA,"Metazoa","Anura",NA,"Chordata","Nanorana yunnanensis",NA,NA,NA,"Dicroglossinae",NA,NA,"Neobatrachia","Craniata",NA,"Sarcopterygii","Ranoidea","Eukaryota","Batrachia",NA,"Paa yunnanensis"
3755,"Napaeozapus insignis","species","101671","Mammalia",NA,"Dipodidae","Napaeozapus",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Napaeozapus insignis",NA,NA,NA,"Zapodinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii","Dipodoidea","Eukaryota","Euarchontoglires",NA,"Napaeozapus insignis"
3756,"Narceus americanus","species","58771","Diplopoda",NA,"Spirobolidae","Narceus",NA,NA,"Metazoa","Spirobolida",NA,"Arthropoda","Narceus americanus",NA,"Helminthomorpha",NA,NA,NA,NA,NA,"Myriapoda",NA,NA,NA,"Eukaryota",NA,NA,"Narceus americanus"
3757,"Narcine maculata","species","1455688","Chondrichthyes",NA,"Narcinidae","Narcine",NA,NA,"Metazoa","Torpediniformes",NA,"Chordata","Narcine maculata",NA,"Elasmobranchii",NA,NA,NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Batoidea",NA,"Raja maculata"
