i.vec,sp.query,q.rank,ncbi.ids,class,cohort,family,genus,infraclass,infraorder,kingdom,order,parvorder,phylum,species,species group,subclass,subcohort,subfamily,subgenus,subkingdom,suborder,subphylum,subtribe,superclass,superfamily,superkingdom,superorder,tribe,host_record_lcdb_nhm
2791,Ingerophrynus biporcatus,species,47544,Amphibia,NA,Bufonidae,Ingerophrynus,NA,NA,Metazoa,Anura,NA,Chordata,Ingerophrynus biporcatus,NA,NA,NA,NA,NA,NA,Neobatrachia,Craniata,NA,Sarcopterygii,Hyloidea,Eukaryota,Batrachia,NA,Ingerophrynus biporcatus
2792,Inimicus japonicus,species,652442,Actinopteri,Euteleosteomorpha,Synanceiidae,Inimicus,Teleostei,NA,Metazoa,Perciformes,NA,Chordata,Inimicus japonicus,NA,Neopterygii,NA,Choridactylinae,NA,NA,Scorpaenoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Inimicus japonicus
2794,Intellagama lesueurii,species,103694,Craniata,NA,Agamidae,Intellagama,NA,NA,Metazoa,Squamata,NA,Chordata,Intellagama lesueurii,NA,NA,NA,Amphibolurinae,NA,NA,Iguania,Craniata,NA,Sarcopterygii,NA,Eukaryota,Lepidosauria,NA,Intellagama lesueurii
2795,Irena puella,species,175119,Aves,NA,Irenidae,Irena,Neognathae,NA,Metazoa,Passeriformes,NA,Chordata,Irena puella,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,Corvoidea,Eukaryota,NA,NA,Irena puella
2796,Ischnura elegans,species,197161,Insecta,NA,Coenagrionidae,Ischnura,Palaeoptera,NA,Metazoa,Odonata,NA,Arthropoda,Ischnura elegans,NA,Pterygota,NA,NA,NA,NA,Zygoptera,Hexapoda,NA,NA,Coenagrionoidea,Eukaryota,NA,NA,Ischnura elegans
2797,Ischnura hastata,species,88048,Insecta,NA,Coenagrionidae,Ischnura,Palaeoptera,NA,Metazoa,Odonata,NA,Arthropoda,Ischnura hastata,NA,Pterygota,NA,NA,NA,NA,Zygoptera,Hexapoda,NA,NA,Coenagrionoidea,Eukaryota,NA,NA,Ischnura hastata
2798,Ischnura pumilio,species,638490,Insecta,NA,Coenagrionidae,Ischnura,Palaeoptera,NA,Metazoa,Odonata,NA,Arthropoda,Ischnura pumilio,NA,Pterygota,NA,NA,NA,NA,Zygoptera,Hexapoda,NA,NA,Coenagrionoidea,Eukaryota,NA,NA,Ischnura pumilio
2799,Ischnura sp.,genus,79456,Insecta,NA,Coenagrionidae,Ischnura,Palaeoptera,NA,Metazoa,Odonata,NA,Arthropoda,NA,NA,Pterygota,NA,NA,NA,NA,Zygoptera,Hexapoda,NA,NA,Coenagrionoidea,Eukaryota,NA,NA,Ischnura sp.
2800,Ischnura verticalis,species,88053,Insecta,NA,Coenagrionidae,Ischnura,Palaeoptera,NA,Metazoa,Odonata,NA,Arthropoda,Ischnura verticalis,NA,Pterygota,NA,NA,NA,NA,Zygoptera,Hexapoda,NA,NA,Coenagrionoidea,Eukaryota,NA,NA,Ischnura verticalis
2801,Isognomon ephippium,species,907457,Bivalvia,NA,Isognomonidae,Isognomon,NA,NA,Metazoa,Pterioida,NA,Mollusca,Isognomon ephippium,NA,Pteriomorphia,NA,NA,NA,NA,NA,NA,NA,NA,Pterioidea,Eukaryota,NA,NA,Melina ephippium
2802,Isoodon macrourus,species,37698,Mammalia,NA,Peramelidae,Isoodon,NA,NA,Metazoa,Peramelemorphia,NA,Chordata,Isoodon macrourus,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA,Isoodon macrourus
2803,Isoodon obesulus,species,65612,Mammalia,NA,Peramelidae,Isoodon,NA,NA,Metazoa,Peramelemorphia,NA,Chordata,Isoodon obesulus,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA,Isoodon obesulus
2804,Isurus oxyrinchus,species,57983,Chondrichthyes,NA,Alopiidae,Isurus,Selachii,NA,Metazoa,Lamniformes,NA,Chordata,Isurus oxyrinchus,NA,Elasmobranchii,NA,Lamninae,NA,NA,NA,Craniata,NA,NA,NA,Eukaryota,Galeoidea,NA,Isurus oxyrinchus
2806,Ithycyphus miniatus,species,224552,Craniata,NA,Lamprophiidae,Ithycyphus,NA,Serpentes,Metazoa,Squamata,NA,Chordata,Ithycyphus miniatus,NA,NA,NA,Pseudoxyrhophiinae,NA,NA,NA,Craniata,NA,Sarcopterygii,Colubroidea,Eukaryota,Lepidosauria,NA,Ithycyphus miniatus
2807,Ixobrychus cinnamomeus,species,188380,Aves,NA,Ardeidae,Ixobrychus,Neognathae,NA,Metazoa,Pelecaniformes,NA,Chordata,Ixobrychus cinnamomeus,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA,Ixobrychus cinnamomeus
2808,Ixobrychus minutus,species,498209,Aves,NA,Ardeidae,Ixobrychus,Neognathae,NA,Metazoa,Pelecaniformes,NA,Chordata,Ixobrychus minutus,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA,Ixobrychus minutus
2809,Ixoreus naevius,species,172416,Aves,NA,Turdidae,Ixoreus,Neognathae,NA,Metazoa,Passeriformes,NA,Chordata,Ixoreus naevius,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA,Ixoreus naevius
2810,Jaculus jaculus,species,51337,Mammalia,NA,Dipodidae,Jaculus,NA,NA,Metazoa,Rodentia,NA,Chordata,Jaculus jaculus,NA,NA,NA,Dipodinae,NA,NA,Myomorpha,Craniata,NA,Sarcopterygii,Dipodoidea,Eukaryota,Euarchontoglires,NA,Jaculus jaculus
2811,Jaculus orientalis,species,48868,Mammalia,NA,Dipodidae,Jaculus,NA,NA,Metazoa,Rodentia,NA,Chordata,Jaculus orientalis,NA,NA,NA,Dipodinae,NA,NA,Myomorpha,Craniata,NA,Sarcopterygii,Dipodoidea,Eukaryota,Euarchontoglires,NA,Jaculus orientalis
2812,Jaera albifrons,species,96851,Malacostraca,NA,Janiridae,Jaera,NA,NA,Metazoa,Isopoda,NA,Arthropoda,Jaera albifrons,NA,Eumalacostraca,NA,NA,NA,NA,Asellota,Crustacea,NA,Multicrustacea,Janiroidea,Eukaryota,Peracarida,NA,Jaera albifrons
2813,Jaera rugicauda,genus,96850,Malacostraca,NA,Janiridae,Jaera,NA,NA,Metazoa,Isopoda,NA,Arthropoda,NA,NA,Eumalacostraca,NA,NA,NA,NA,Asellota,Crustacea,NA,Multicrustacea,Janiroidea,Eukaryota,Peracarida,NA,Jaera rugicauda
2815,Japalura polygonata,genus,52217,Craniata,NA,Agamidae,Japalura,NA,NA,Metazoa,Squamata,NA,Chordata,NA,NA,NA,NA,Draconinae,NA,NA,Iguania,Craniata,NA,Sarcopterygii,NA,Eukaryota,Lepidosauria,NA,Japalura polygonata polygonata
2816,Jassa ingens,genus,371448,Malacostraca,NA,Ischyroceridae,Jassa,NA,Corophiida,Metazoa,Amphipoda,Caprellidira,Arthropoda,NA,NA,Eumalacostraca,NA,NA,NA,NA,Senticaudata,Crustacea,NA,Multicrustacea,Photoidea,Eukaryota,Peracarida,NA,Jassa ingens
2819,Kaloula pulchra,species,167934,Amphibia,NA,Microhylidae,Kaloula,NA,NA,Metazoa,Anura,NA,Chordata,Kaloula pulchra,NA,NA,NA,Microhylinae,NA,NA,Neobatrachia,Craniata,NA,Sarcopterygii,Microhyloidea,Eukaryota,Batrachia,NA,Kaloula pulchra
2820,Kareius bicoloratus,species,143345,Actinopteri,Euteleosteomorpha,Pleuronectidae,Kareius,Teleostei,NA,Metazoa,Pleuronectiformes,NA,Chordata,Kareius bicoloratus,NA,Neopterygii,NA,NA,NA,NA,Pleuronectoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Platichthys bicoloratus
2821,Katsuwonus pelamis,species,8226,Actinopteri,Euteleosteomorpha,Scombridae,Katsuwonus,Teleostei,NA,Metazoa,Scombriformes,NA,Chordata,Katsuwonus pelamis,NA,Neopterygii,NA,Scombrinae,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,Thunnini,Euthynnus palamis
2821,Katsuwonus pelamis,species,8226,Actinopteri,Euteleosteomorpha,Scombridae,Katsuwonus,Teleostei,NA,Metazoa,Scombriformes,NA,Chordata,Katsuwonus pelamis,NA,Neopterygii,NA,Scombrinae,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,Thunnini,Katsuwonus pelamis
2821,Katsuwonus pelamis,species,8226,Actinopteri,Euteleosteomorpha,Scombridae,Katsuwonus,Teleostei,NA,Metazoa,Scombriformes,NA,Chordata,Katsuwonus pelamis,NA,Neopterygii,NA,Scombrinae,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,Thunnini,Katsuwonus pelamys
2822,Kheper nigroaeneus,species,205299,Insecta,Holometabola,Scarabaeidae,Kheper,Neoptera,Scarabaeiformia,Metazoa,Coleoptera,NA,Arthropoda,Kheper nigroaeneus,NA,Pterygota,NA,Scarabaeinae,NA,NA,Polyphaga,Hexapoda,NA,NA,Scarabaeoidea,Eukaryota,NA,Scarabaeini,Kheper nigroaeneus
2825,Kinosternon baurii,species,142482,Craniata,NA,Kinosternidae,Kinosternon,NA,NA,Metazoa,Testudines,NA,Chordata,Kinosternon baurii,NA,NA,NA,NA,NA,NA,Cryptodira,Craniata,NA,Sarcopterygii,Chelydroidea,Eukaryota,NA,NA,Kinosternon baurii
2826,Kinosternon hirtipes,species,142486,Craniata,NA,Kinosternidae,Kinosternon,NA,NA,Metazoa,Testudines,NA,Chordata,Kinosternon hirtipes,NA,NA,NA,NA,NA,NA,Cryptodira,Craniata,NA,Sarcopterygii,Chelydroidea,Eukaryota,NA,NA,Kinosternon hirtipes
2827,Kinosternon integrum,species,904200,Craniata,NA,Kinosternidae,Kinosternon,NA,NA,Metazoa,Testudines,NA,Chordata,Kinosternon integrum,NA,NA,NA,NA,NA,NA,Cryptodira,Craniata,NA,Sarcopterygii,Chelydroidea,Eukaryota,NA,NA,Kinosternon integrum
2828,Kinosternon subrubrum,species,142487,Craniata,NA,Kinosternidae,Kinosternon,NA,NA,Metazoa,Testudines,NA,Chordata,Kinosternon subrubrum,NA,NA,NA,NA,NA,NA,Cryptodira,Craniata,NA,Sarcopterygii,Chelydroidea,Eukaryota,NA,NA,Kinosternon subrubrum
2830,Kobus ellipsiprymnus,species,9962,Mammalia,NA,Bovidae,Kobus,NA,Pecora,Metazoa,Laurasiatheria,NA,Chordata,Kobus ellipsiprymnus,NA,NA,NA,Reduncinae,NA,NA,Ruminantia,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Kobus ellipsiprymnus
2831,Kobus kob,species,59530,Mammalia,NA,Bovidae,Kobus,NA,Pecora,Metazoa,Laurasiatheria,NA,Chordata,Kobus kob,NA,NA,NA,Reduncinae,NA,NA,Ruminantia,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Kobus kob
2831,Kobus kob,species,59530,Mammalia,NA,Bovidae,Kobus,NA,Pecora,Metazoa,Laurasiatheria,NA,Chordata,Kobus kob,NA,NA,NA,Reduncinae,NA,NA,Ruminantia,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Kobus kob kob
2832,Kobus leche,species,59531,Mammalia,NA,Bovidae,Kobus,NA,Pecora,Metazoa,Laurasiatheria,NA,Chordata,Kobus leche,NA,NA,NA,Reduncinae,NA,NA,Ruminantia,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Kobus leche
2832,Kobus leche,species,59531,Mammalia,NA,Bovidae,Kobus,NA,Pecora,Metazoa,Laurasiatheria,NA,Chordata,Kobus leche,NA,NA,NA,Reduncinae,NA,NA,Ruminantia,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Kobus leche kafuensis
2833,Kobus vardoni,genus,9961,Mammalia,NA,Bovidae,Kobus,NA,Pecora,Metazoa,Laurasiatheria,NA,Chordata,NA,NA,NA,NA,Reduncinae,NA,NA,Ruminantia,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Kobus vardoni
2834,Kogia breviceps,species,27615,Mammalia,NA,Physeteridae,Kogia,NA,NA,Metazoa,Cetacea,NA,Chordata,Kogia breviceps,NA,NA,NA,NA,NA,NA,Odontoceti,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Kogia breviceps
2835,Kogia sima,species,9752,Mammalia,NA,Physeteridae,Kogia,NA,NA,Metazoa,Cetacea,NA,Chordata,Kogia sima,NA,NA,NA,NA,NA,NA,Odontoceti,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Kogia sima
2835,Kogia sima,species,9752,Mammalia,NA,Physeteridae,Kogia,NA,NA,Metazoa,Cetacea,NA,Chordata,Kogia sima,NA,NA,NA,NA,NA,NA,Odontoceti,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Kogia simus
2836,Konosirus punctatus,species,365056,Actinopteri,Otomorpha,Clupeidae,Konosirus,Teleostei,NA,Metazoa,Clupeiformes,NA,Chordata,Konosirus punctatus,NA,Neopterygii,Clupei,Dorosomatinae,NA,NA,Clupeoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Konosirus punctatus
2837,Kontikia forsterorum,genus,1292333,Rhabditophora,NA,Geoplanidae,Kontikia,NA,NA,Metazoa,Tricladida,NA,Platyhelminthes,NA,NA,NA,NA,Caenoplaninae,NA,NA,Continenticola,NA,NA,NA,Geoplanoidea,Eukaryota,NA,NA,Geoplana forsterorum
2838,Labeo calbasu,species,177615,Actinopteri,Otomorpha,Cyprinidae,Labeo,Teleostei,NA,Metazoa,Cypriniformes,NA,Chordata,Labeo calbasu,NA,Neopterygii,Ostariophysi,NA,NA,NA,Cyprinoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,Cypriniphysae,NA,Labeo calbasu
2839,Labeo lukulae,species,1204344,Actinopteri,Otomorpha,Cyprinidae,Labeo,Teleostei,NA,Metazoa,Cypriniformes,NA,Chordata,Labeo lukulae,NA,Neopterygii,Ostariophysi,NA,NA,NA,Cyprinoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,Cypriniphysae,NA,Labeo lukulae
2840,Labeo rohita,species,84645,Actinopteri,Otomorpha,Cyprinidae,Labeo,Teleostei,NA,Metazoa,Cypriniformes,NA,Chordata,Labeo rohita,NA,Neopterygii,Ostariophysi,NA,NA,NA,Cyprinoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,Cypriniphysae,NA,Labeo rohita
2841,Labeobarbus altianalis,species,1196411,Actinopteri,Otomorpha,Cyprinidae,Labeobarbus,Teleostei,NA,Metazoa,Cypriniformes,NA,Chordata,Labeobarbus altianalis,NA,Neopterygii,Ostariophysi,NA,NA,NA,Cyprinoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,Cypriniphysae,NA,Barbus altianalis
2842,Labeobarbus bynni,genus,467340,Actinopteri,Otomorpha,Cyprinidae,Labeobarbus,Teleostei,NA,Metazoa,Cypriniformes,NA,Chordata,NA,NA,Neopterygii,Ostariophysi,NA,NA,NA,Cyprinoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,Cypriniphysae,NA,Barbus bynni
2843,Labeobarbus kimberleyensis,species,1849831,Actinopteri,Otomorpha,Cyprinidae,Labeobarbus,Teleostei,NA,Metazoa,Cypriniformes,NA,Chordata,Labeobarbus kimberleyensis,NA,Neopterygii,Ostariophysi,NA,NA,NA,Cyprinoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,Cypriniphysae,NA,Barbus kimberleyensis
2843,Labeobarbus kimberleyensis,species,1849831,Actinopteri,Otomorpha,Cyprinidae,Labeobarbus,Teleostei,NA,Metazoa,Cypriniformes,NA,Chordata,Labeobarbus kimberleyensis,NA,Neopterygii,Ostariophysi,NA,NA,NA,Cyprinoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,Cypriniphysae,NA,Labeobarbus kimberleyensis
2844,Labeobarbus tropidolepis,genus,467340,Actinopteri,Otomorpha,Cyprinidae,Labeobarbus,Teleostei,NA,Metazoa,Cypriniformes,NA,Chordata,NA,NA,Neopterygii,Ostariophysi,NA,NA,NA,Cyprinoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,Cypriniphysae,NA,Barbus tropidolepis
2845,Labidocera japonica,species,310898,Hexanauplia,NA,Pontellidae,Labidocera,Neocopepoda,NA,Metazoa,Calanoida,NA,Arthropoda,Labidocera japonica,NA,Copepoda,NA,NA,NA,NA,NA,Crustacea,NA,Multicrustacea,NA,Eukaryota,Gymnoplea,NA,Labidocera japonica
2846,Labidura bidens,genus,50448,Insecta,Polyneoptera,Labiduridae,Labidura,Neoptera,NA,Metazoa,Dermaptera,NA,Arthropoda,NA,NA,Pterygota,NA,NA,NA,NA,Forficulina,Hexapoda,NA,NA,Anisolabidoidea,Eukaryota,NA,NA,Labidura bidens
2847,Labidura riparia,species,50449,Insecta,Polyneoptera,Labiduridae,Labidura,Neoptera,NA,Metazoa,Dermaptera,NA,Arthropoda,Labidura riparia,NA,Pterygota,NA,NA,NA,NA,Forficulina,Hexapoda,NA,NA,Anisolabidoidea,Eukaryota,NA,NA,Labidura riparia
2848,Labrisomus philippi,genus,57815,Actinopteri,Euteleosteomorpha,Labrisomidae,Labrisomus,Teleostei,NA,Metazoa,Blenniiformes,NA,Chordata,NA,NA,Neopterygii,NA,NA,NA,NA,Blennioidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Labrisomus philippi
2849,Labrisomus philippii,species,1365948,Actinopteri,Euteleosteomorpha,Labrisomidae,Labrisomus,Teleostei,NA,Metazoa,Blenniiformes,NA,Chordata,Labrisomus philippii,NA,Neopterygii,NA,NA,NA,NA,Blennioidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Labrisomus philippii
2850,Labrus bergylta,species,56723,Actinopteri,Euteleosteomorpha,Labridae,Labrus,Teleostei,NA,Metazoa,Labriformes,NA,Chordata,Labrus bergylta,NA,Neopterygii,NA,NA,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Labrus bergylta
2851,Labrus merula,species,202587,Actinopteri,Euteleosteomorpha,Labridae,Labrus,Teleostei,NA,Metazoa,Labriformes,NA,Chordata,Labrus merula,NA,Neopterygii,NA,NA,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Labrus merula
2852,Labrus mixtus,species,508554,Actinopteri,Euteleosteomorpha,Labridae,Labrus,Teleostei,NA,Metazoa,Labriformes,NA,Chordata,Labrus mixtus,NA,Neopterygii,NA,NA,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Labrus mixtus
2853,Lacerta agilis,species,80427,Craniata,NA,Lacertidae,Lacerta,NA,NA,Metazoa,Squamata,NA,Chordata,Lacerta agilis,NA,NA,NA,Lacertinae,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,Lepidosauria,NA,Lacerta agilis
2854,Lacerta erhardi,genus,8523,Craniata,NA,Lacertidae,Lacerta,NA,NA,Metazoa,Squamata,NA,Chordata,NA,NA,NA,NA,Lacertinae,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,Lepidosauria,NA,Lacerta erchardi
2855,Lacerta muralis,genus,8523,Craniata,NA,Lacertidae,Lacerta,NA,NA,Metazoa,Squamata,NA,Chordata,NA,NA,NA,NA,Lacertinae,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,Lepidosauria,NA,Lacerta muralis
2856,Lacerta sp.,genus,8523,Craniata,NA,Lacertidae,Lacerta,NA,NA,Metazoa,Squamata,NA,Chordata,NA,NA,NA,NA,Lacertinae,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,Lepidosauria,NA,Lacerta sp.
2857,Lacerta strigata,species,57233,Craniata,NA,Lacertidae,Lacerta,NA,NA,Metazoa,Squamata,NA,Chordata,Lacerta strigata,NA,NA,NA,Lacertinae,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,Lepidosauria,NA,Lacerta strigata
2858,Lacerta viridis,species,65476,Craniata,NA,Lacertidae,Lacerta,NA,NA,Metazoa,Squamata,NA,Chordata,Lacerta viridis,NA,NA,NA,Lacertinae,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,Lepidosauria,NA,Lacerta viridis
2859,Ladislavella elodes,species,1658597,Gastropoda,NA,Lymnaeidae,Ladislavella,NA,NA,Metazoa,Heterobranchia,NA,Mollusca,Ladislavella elodes,NA,Heterobranchia,NA,NA,NA,NA,NA,NA,NA,NA,Lymnaeoidea,Eukaryota,NA,NA,Stagnicola elodes
2860,Laevicaulis alte,species,74076,Gastropoda,NA,Veronicellidae,Laevicaulis,NA,NA,Metazoa,Systellommatophora,NA,Mollusca,Laevicaulis alte,NA,Heterobranchia,NA,NA,NA,NA,NA,NA,NA,NA,Veronicelloidea,Eukaryota,Eupulmonata,NA,Laevicaulis alte
2860,Laevicaulis alte,species,74076,Gastropoda,NA,Veronicellidae,Laevicaulis,NA,NA,Metazoa,Systellommatophora,NA,Mollusca,Laevicaulis alte,NA,Heterobranchia,NA,NA,NA,NA,NA,NA,NA,NA,Veronicelloidea,Eukaryota,Eupulmonata,NA,Vaginulus alte
2861,Lagenodelphis hosei,species,103594,Mammalia,NA,Delphinidae,Lagenodelphis,NA,NA,Metazoa,Cetacea,NA,Chordata,Lagenodelphis hosei,NA,NA,NA,NA,NA,NA,Odontoceti,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Lagenodelphis hosei
2862,Lagenorhynchus acutus,species,90246,Mammalia,NA,Delphinidae,Lagenorhynchus,NA,NA,Metazoa,Cetacea,NA,Chordata,Lagenorhynchus acutus,NA,NA,NA,NA,NA,NA,Odontoceti,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Lagenorhynchus acutus
2863,Lagenorhynchus albirostris,species,27610,Mammalia,NA,Delphinidae,Lagenorhynchus,NA,NA,Metazoa,Cetacea,NA,Chordata,Lagenorhynchus albirostris,NA,NA,NA,NA,NA,NA,Odontoceti,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Lagenorhynchus albirostris
2864,Lagenorhynchus cruciger,species,103587,Mammalia,NA,Delphinidae,Lagenorhynchus,NA,NA,Metazoa,Cetacea,NA,Chordata,Lagenorhynchus cruciger,NA,NA,NA,NA,NA,NA,Odontoceti,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Lagenorhynchus cruciger
2865,Lagenorhynchus obliquidens,species,90247,Mammalia,NA,Delphinidae,Lagenorhynchus,NA,NA,Metazoa,Cetacea,NA,Chordata,Lagenorhynchus obliquidens,NA,NA,NA,NA,NA,NA,Odontoceti,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Lagenorhynchus obliquidens
2866,Lagenorhynchus obscurus,species,27611,Mammalia,NA,Delphinidae,Lagenorhynchus,NA,NA,Metazoa,Cetacea,NA,Chordata,Lagenorhynchus obscurus,NA,NA,NA,NA,NA,NA,Odontoceti,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Lagenorhynchus obscurus
2867,Lagidium viscacia,species,84623,Mammalia,NA,Chinchillidae,Lagidium,NA,NA,Metazoa,Rodentia,NA,Chordata,Lagidium viscacia,NA,NA,NA,NA,NA,NA,Hystricomorpha,Craniata,NA,Sarcopterygii,NA,Eukaryota,Euarchontoglires,NA,Lagidium viscacia
2868,Lagodon rhomboides,species,50351,Actinopteri,Euteleosteomorpha,Sparidae,Lagodon,Teleostei,NA,Metazoa,Spariformes,NA,Chordata,Lagodon rhomboides,NA,Neopterygii,NA,NA,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Lagodon rhomboides
2869,Lagopus lagopus,species,52650,Aves,NA,Phasianidae,Lagopus,Neognathae,NA,Metazoa,Galliformes,NA,Chordata,Lagopus lagopus,NA,NA,NA,Tetraoninae,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,Galloanserae,NA,Lagopus lagopus
2869,Lagopus lagopus,species,52650,Aves,NA,Phasianidae,Lagopus,Neognathae,NA,Metazoa,Galliformes,NA,Chordata,Lagopus lagopus,NA,NA,NA,Tetraoninae,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,Galloanserae,NA,Lagopus lagopus scoticus
2870,Lagopus muta,species,64668,Aves,NA,Phasianidae,Lagopus,Neognathae,NA,Metazoa,Galliformes,NA,Chordata,Lagopus muta,NA,NA,NA,Tetraoninae,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,Galloanserae,NA,Lagopus muta
2870,Lagopus muta,species,64668,Aves,NA,Phasianidae,Lagopus,Neognathae,NA,Metazoa,Galliformes,NA,Chordata,Lagopus muta,NA,NA,NA,Tetraoninae,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,Galloanserae,NA,Lagopus mutus
2871,Lagopus scoticus,genus,30409,Aves,NA,Phasianidae,Lagopus,Neognathae,NA,Metazoa,Galliformes,NA,Chordata,NA,NA,NA,NA,Tetraoninae,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,Galloanserae,NA,Lagopus scoticus
2872,Lagopus sp.,genus,30409,Aves,NA,Phasianidae,Lagopus,Neognathae,NA,Metazoa,Galliformes,NA,Chordata,NA,NA,NA,NA,Tetraoninae,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,Galloanserae,NA,Lagopus sp.
2873,Lagorchestes hirsutus,species,65632,Mammalia,NA,Macropodidae,Lagorchestes,NA,NA,Metazoa,Diprotodontia,NA,Chordata,Lagorchestes hirsutus,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA,Lagorchestes hirsutus
2874,Lagostomus maximus,species,10154,Mammalia,NA,Chinchillidae,Lagostomus,NA,NA,Metazoa,Rodentia,NA,Chordata,Lagostomus maximus,NA,NA,NA,NA,NA,NA,Hystricomorpha,Craniata,NA,Sarcopterygii,NA,Eukaryota,Euarchontoglires,NA,Lagostomus maximus
2875,Lagothrix lagothricha,genus,9518,Mammalia,NA,Atelidae,Lagothrix,NA,Simiiformes,Metazoa,Primates,Platyrrhini,Chordata,NA,NA,NA,NA,Atelinae,NA,NA,Haplorrhini,Craniata,NA,Sarcopterygii,NA,Eukaryota,Euarchontoglires,NA,Alouatta nigra
2876,Lagurus lagurus,species,175522,Mammalia,NA,Cricetidae,Lagurus,NA,NA,Metazoa,Rodentia,NA,Chordata,Lagurus lagurus,NA,NA,NA,Arvicolinae,NA,NA,Myomorpha,Craniata,NA,Sarcopterygii,NA,Eukaryota,Euarchontoglires,NA,Lagurus lagurus
2877,Lagurus sp.,genus,175521,Mammalia,NA,Cricetidae,Lagurus,NA,NA,Metazoa,Rodentia,NA,Chordata,NA,NA,NA,NA,Arvicolinae,NA,NA,Myomorpha,Craniata,NA,Sarcopterygii,NA,Eukaryota,Euarchontoglires,NA,Lagurus sp.
2878,Lalage leucomela,species,254546,Aves,NA,Campephagidae,Lalage,Neognathae,NA,Metazoa,Passeriformes,NA,Chordata,Lalage leucomela,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,Corvoidea,Eukaryota,NA,NA,Lalage leucomela
